City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bethel,41.3712,-73.414,26.47,69,75,6.69,US,1686601632
1,Sola,-13.8833,167.55,27.09,75,82,6.26,VU,1686601329
2,Ryōtsu-minato,38.0833,138.4333,20.4,86,86,0.54,JP,1686601895
3,La Sarre,48.8002,-79.1996,20.77,64,100,3.36,CA,1686601641
4,Lompoc,34.6391,-120.4579,22.05,77,100,3.09,US,1686601871
5,Cabo San Lucas,22.8909,-109.9124,34.61,22,0,3.09,MX,1686601380
6,Ushuaia,-54.8,-68.3,5.79,75,20,16.46,AR,1686601896
7,Blackmans Bay,-43.0167,147.3167,6.07,90,51,3.14,AU,1686601896
8,Adamstown,-25.066,-130.1015,20.02,64,20,3.01,PN,1686601602
9,Iqaluit,63.7506,-68.5145,1.85,64,100,4.63,CA,1686601643
10,Maloye Ganyushkino,46.6,49.2667,28.82,22,97,3.37,KZ,1686601897
11,Udachny,66.4167,112.4,6.92,48,33,3.39,RU,1686601677
12,Greenville,35.6127,-77.3663,30.63,67,100,2.06,US,1686601301
13,Mukalla,14.5425,49.1242,32.73,68,89,2.81,YE,1686601667
14,Waitangi,-43.9535,-176.5597,9.9,95,95,8.33,NZ,1686601898
15,Klyuchi,52.2667,79.1667,15.12,84,80,3.59,RU,1686601898
16,Alice Springs,-23.7,133.8833,6.75,70,0,3.09,AU,1686601898
17,Zouérat,22.7187,-12.4521,31.86,18,0,4.64,MR,1686601899
18,Edinburgh of the Seven Seas,-37.0676,-12.3116,17.1,89,100,16.71,SH,1686601654
19,Isafjordur,66.0755,-23.124,12.02,54,20,5.66,IS,1686601899
20,Ilulissat,69.2167,-51.1,3.01,70,40,6.17,GL,1686601649
21,Avarua,-21.2078,-159.775,25.03,88,97,1.54,CK,1686601900
22,Pacific Grove,36.6177,-121.9166,19.68,78,100,5.66,US,1686601780
23,Longyearbyen,78.2186,15.6401,0.91,93,100,4.12,SJ,1686601698
24,Puerto Natales,-51.7236,-72.4875,6.25,61,40,3.6,CL,1686601900
25,Utrik,11.2278,169.8474,27.58,82,87,8.12,MH,1686601900
26,Whitehorse,60.7161,-135.0538,15.61,22,40,4.63,CA,1686601652
27,Vila Franca do Campo,37.7167,-25.4333,19.23,97,100,5.85,PT,1686601662
28,Tiksi,71.6872,128.8694,1.5,89,46,2.47,RU,1686601679
29,Wailua Homesteads,22.0669,-159.378,27.24,82,100,5.66,US,1686601901
30,I-n-Salah,27.1935,2.4607,37.43,6,0,4.89,DZ,1686601779
31,Albany,42.6001,-73.9662,28.27,49,100,2.68,US,1686601902
32,Oranjemund,-28.55,16.4333,13.49,81,1,0.23,NA,1686601327
33,Margaret River,-33.95,115.0667,15.64,66,93,6.74,AU,1686601614
34,Kyshtovka,56.555,76.6271,6.23,72,99,2.57,RU,1686601903
35,Igarka,67.4667,86.5833,5.45,88,47,4.27,RU,1686601459
36,College,64.8569,-147.8028,16.18,39,75,7.72,US,1686601663
37,Fort McMurray,56.7268,-111.381,21.77,40,0,3.09,CA,1686601903
38,Mumford,5.2618,-0.759,25.65,75,7,4.61,GH,1686601904
39,Khovd,48.0056,91.6419,14.49,51,69,3.89,MN,1686601904
40,Enewetak,11.3474,162.3373,27.62,83,33,8.02,MH,1686601638
41,Bilibino,68.0546,166.4372,11.63,92,100,2.05,RU,1686601681
42,Oak Hill,37.9723,-81.1487,19.08,81,99,0.45,US,1686601904
43,Palopo,-2.9996,120.1921,24.19,87,86,1.06,ID,1686601905
44,Moramanga,-18.9333,48.2,13.24,98,17,0.7,MG,1686601905
45,Lihue,21.9789,-159.3672,27.58,77,100,5.66,US,1686601905
46,Port-aux-Français,-49.35,70.2167,6.58,92,100,13.97,TF,1686601640
47,Ribeira Grande,38.5167,-28.7,20.22,94,75,4.12,PT,1686601645
